"","V1"
"X368.5",4.36615753173828
"X369.5",7.22148707509041
"X370.5",8.57714831829071
"X371.5",8.35578584671021
"X372.5",8.23488366603851
"X373.5",8.74992245435715
"X374.5",7.93655729293823
"X375.5",6.93407771736383
"X376.5",5.94364380836487
"X377.5",3.91827011108398
"X378.5",2.5093948841095
"X379.5",3.82358503341675
"X380.5",5.18660223484039
"X381.5",7.34436909109354
"X382.5",7.55607518553734
"X383.5",7.84186288714409
"X384.5",7.72675907611847
"X385.5",8.07213652133942
"X386.5",7.5774040389806
"X387.5",6.91410666704178
"X388.5",6.24974125623703
"X389.5",4.97937935590744
"X390.5",2.43614971637726
"X391.5",2.98651945590973
"X392.5",4.69893372058868
"X393.5",6.80982945859432
"X394.5",7.15600123256445
"X395.5",8.1423222720623
"X396.5",7.22286063432693
"X397.5",7.25392535328865
"X398.5",7.26571768522263
"X399.5",7.09150778502226
"X400.5",5.62908273935318
"X401.5",4.12705814838409
"X402.5",3.26756393909454
"X403.5",3.42997074127197
"X404.5",5.09021776914597
"X405.5",7.1480676792562
"X406.5",8.21960401535034
"X407.5",8.67743355035782
"X408.5",7.8148707151413
"X409.5",8.0204062461853
"X410.5",7.6399864256382
"X411.5",7.34330059587955
"X412.5",5.94157040119171
"X413.5",4.07041370868683
"X414.5",3.23603522777557
"X415.5",3.94380855560303
"X416.5",6.16141593456268
"X417.5",7.09424109756947
"X418.5",8.24861735105515
"X419.5",8.90237557888031
"X420.5",8.73816812038422
"X421.5",8.60136365890503
"X422.5",7.82369345426559
"X423.5",7.27467419952154
"X424.5",5.3639435172081
"X425.5",4.53116989135742
"X426.5",3.60366523265839
"X427.5",4.53702104091644
"X428.5",5.92138957977295
"X429.5",7.45571307837963
"X430.5",7.98123532533646
"X431.5",8.10425919294357
"X432.5",7.5220507979393
"X433.5",8.18962699174881
"X434.5",8.10153532028198
"X435.5",7.83175408840179
"X436.5",6.49437099695206
"X437.5",4.16817712783813
"X438.5",3.05390179157257
"X439.5",4.86058700084686
"X440.5",6.05997341871262
"X441.5",7.75107761076652
"X442.5",7.95851936936378
"X443.5",8.61409038305283
"X444.5",7.66262793540955
"X445.5",7.75957947969437
"X446.5",7.19119063019753
"X447.5",6.25139163434505
"X448.5",5.09216552972794
"X449.5",3.46949970722198
"X450.5",3.60369801521301
"X451.5",4.08703637123108
"X452.5",6.65148735046387
"X453.5",8.05885307304561
"X454.5",8.66743624210358
"X455.5",9.82947683334351
"X456.5",9.86930322647095
"X457.5",9.92302983999252
"X458.5",9.3406508564949
"X459.5",8.49194910377264
"X460.5",6.10084754228592
"X461.5",5.65226715803146
"X462.5",3.82901680469513
"X463.5",5.05786943435669
"X464.5",5.9183697104454
"X465.5",7.76741092745215
"X466.5",8.06995457410812
"X467.5",8.64056485891342
"X468.5",8.61001068353653
"X469.5",7.9346017241478
"X470.5",7.78754788637161
"X471.5",7.29326084256172
"X472.5",6.15872353315353
"X473.5",4.12438535690308
"X474.5",3.11557137966156
"X475.5",4.12797594070435
"X476.5",5.53664493560791
"X477.5",7.38461369276047
"X478.5",7.59793401509523
"X479.5",8.33365243673325
"X480.5",7.87458688020706
"X481.5",7.61592465639114
"X482.5",7.55546712875366
"X483.5",7.60787300765514
"X484.5",6.30892258882523
"X485.5",4.31262755393982
"X486.5",2.62462294101715
"X487.5",4.59797585010529
"X488.5",5.70397406816483
"X489.5",6.966413076967
"X490.5",8.16859295964241
"X491.5",8.06859555840492
"X492.5",7.30518954992294
"X493.5",7.78042161464691
"X494.5",7.37634944915771
"X495.5",7.18411825224757
"X496.5",5.83759355545044
"X497.5",4.69197821617126
"X498.5",2.65412211418152
"X499.5",3.63671016693115
"X500.5",6.71093827486038
"X501.5",8.10605742782354
"X502.5",8.79037037491798
"X503.5",9.03579306602478
"X504.5",8.87642931938171
"X505.5",8.32295423746109
"X506.5",8.05581670999527
"X507.5",7.51531854271889
"X508.5",6.51057794690132
"X509.5",5.72776490449905
"X510.5",2.72723138332367
"X511.5",4.58483469486237
"X512.5",6.1239667236805
"X513.5",7.92151355743408
"X514.5",8.56562837958336
"X515.5",9.17339551448822
"X516.5",9.08859276771545
"X517.5",8.99198788404465
"X518.5",8.16254407167435
"X519.5",7.53499336540699
"X520.5",6.47491133213043
"X521.5",5.03570020198822
"X522.5",3.5587295293808
"X523.5",4.05903291702271
"X524.5",5.47167527675629
"X525.5",7.53450433909893
"X526.5",8.55526429787278
"X527.5",9.19795024394989
"X528.5",8.23656976222992
"X529.5",8.42425787448883
"X530.5",8.8152734041214
"X531.5",7.48819874040782
"X532.5",5.51055121421814
"X533.5",4.75574564933777
"X534.5",3.45263528823853
"X535.5",4.66333699226379
"X536.5",6.29588860273361
"X537.5",7.69011194445193
"X538.5",8.53775541484356
"X539.5",9.11434161663055
"X540.5",8.71079802513123
"X541.5",9.04353320598602
"X542.5",8.70440971851349
"X543.5",7.86081117391586
"X544.5",6.13818740844727
"X545.5",4.74152338504791
"X546.5",4.06086111068726
"X547.5",4.10941994190216
"X548.5",5.707594871521
"X549.5",7.54812138155103
"X550.5",8.38037414848804
"X551.5",8.85124909877777
"X552.5",8.07145881652832
"X553.5",8.70344036817551
"X554.5",8.489710688591
"X555.5",7.51571851968765
"X556.5",5.18505454063416
"X557.5",5.40273278951645
"X558.5",3.50643372535706
"X559.5",5.03125214576721
"X560.5",5.8941822052002
"X561.5",7.55950885266066
"X562.5",8.60945007205009
"X563.5",9.13409489393234
"X564.5",9.46162897348404
"X565.5",8.74282431602478
"X566.5",8.1065416932106
"X567.5",7.70844003558159
"X568.5",6.18889683485031
"X569.5",5.89394682645798
"X570.5",3.4538094997406
"X571.5",5.00097668170929
"X572.5",6.77775125205517
"X573.5",7.8420074339956
"X574.5",8.27767015993595
"X575.5",8.49944594502449
"X576.5",7.86561465263367
"X577.5",7.89469200372696
"X578.5",7.32038454711437
"X579.5",6.46958142518997
"X580.5",4.68393695354462
"X581.5",4.96044898033142
"X582.5",3.43222212791443
"X583.5",4.57563591003418
"X584.5",5.6307156085968
"X585.5",7.72024178504944
"X586.5",8.90459638834
"X587.5",8.23477518558502
"X588.5",8.67266184091568
"X589.5",8.42475652694702
"X590.5",7.93697711825371
"X591.5",7.51403810083866
"X592.5",6.0787912607193
"X593.5",4.20651006698608
"X594.5",3.74435698986053
"X595.5",4.18297111988068
"X596.5",6.65800869464874
"X597.5",8.21547849476337
"X598.5",9.32693988084793
"X599.5",9.07761251926422
"X600.5",9.21804636716843
"X601.5",9.97141897678375
"X602.5",9.34488958120346
"X603.5",8.46980795264244
"X604.5",6.53520914912224
"X605.5",6.35722351074219
"X606.5",3.98934161663055
"X607.5",4.94580030441284
"X608.5",6.74826711416245
"X609.5",7.70756597816944
"X610.5",8.07663284242153
"X611.5",8.27677804231644
"X612.5",8.28445762395859
"X613.5",7.73015373945236
"X614.5",7.79812848567963
"X615.5",7.4387671276927
"X616.5",6.05544525384903
"X617.5",5.06560617685318
"X618.5",3.45394766330719
"X619.5",4.68370652198792
"X620.5",6.5343112051487
"X621.5",7.16345107555389
"X622.5",8.86074343323708
"X623.5",8.42190647125244
"X624.5",8.02520084381104
"X625.5",7.62383723258972
"X626.5",7.84194159507751
"X627.5",7.44008445739746
"X628.5",5.60299265384674
"X629.5",4.91942131519318
"X630.5",3.78295922279358
"X631.5",4.23171854019165
"X632.5",6.4190748333931
"X633.5",8.01715403236449
"X634.5",8.89451339840889
"X635.5",8.73232120275497
"X636.5",8.75022828578949
"X637.5",8.5581601858139
"X638.5",8.32156497240067
"X639.5",7.28034302592278
"X640.5",6.66524592041969
"X641.5",5.68683663010597
"X642.5",4.43742442131042
"X643.5",4.36599707603455
"X644.5",6.05358475446701
"X645.5",7.8640845566988
"X646.5",8.91854807734489
"X647.5",9.00022119283676
"X648.5",8.47148674726486
"X649.5",8.74279189109802
"X650.5",8.49568897485733
"X651.5",8.01833857595921
"X652.5",6.10635101795197
"X653.5",6.17527049779892
"X654.5",4.12159693241119
"X655.5",4.7707713842392
"X656.5",7.02722445875406
"X657.5",8.37814755737782
"X658.5",8.96919175982475
"X659.5",9.38089370727539
"X660.5",8.39432537555695
"X661.5",8.74654871225357
"X662.5",8.2823274731636
"X663.5",7.85439729690552
"X664.5",6.35844397544861
"X665.5",6.30184382200241
"X666.5",3.83629894256592
"X667.5",5.21949946880341
"X668.5",6.93382534384727
"X669.5",7.90512328594923
"X670.5",9.32081070542336
"X671.5",9.43882596492767
"X672.5",9.8983616232872
"X673.5",9.91094732284546
"X674.5",9.12828606367111
"X675.5",8.25898951292038
"X676.5",5.97671049833298
"X677.5",4.89761936664581
"X678.5",4.19705986976624
"X679.5",4.74235439300537
"X680.5",6.27248460054398
"X681.5",7.6215346287936
"X682.5",8.0861109495163
"X683.5",9.03588551282883
