"","V1"
"X252.5",160.125078837077
"X253.5",109.332818349202
"X254.5",75.578182220459
"X255.5",58.2554492950439
"X256.5",8.76893313725789
"X257.5",5.01342125733693
"X258.5",0.816248491406441
"X259.5",30.8347781499227
"X260.5",41.2022263209025
"X261.5",76.421147664388
"X262.5",51.9177551269531
"X263.5",113.025513966878
"X264.5",140.457941691081
"X265.5",73.2760416666667
"X266.5",60.5119043986003
"X267.5",56.7027734120687
"X268.5",2.24020000298818
"X269.5",2.60873879988988
"X270.5",1.88285543521245
"X271.5",10.9350056648254
"X272.5",63.8487847646077
"X273.5",50.8070710500081
"X274.5",98.0945002237956
"X275.5",52.9782244364421
"X276.5",89.5762672424316
"X277.5",69.3252105712891
"X278.5",37.0584316253662
"X279.5",45.9706579844157
"X280.5",17.999232451121
"X281.5",5.68056591351827
"X282.5",4.17571087678273
"X283.5",2.62355436881383
"X284.5",28.2239306767782
"X285.5",24.0056486129761
"X286.5",35.5075073242188
"X287.5",77.3431695302327
"X288.5",157.468922932943
"X289.5",151.439617156982
"X290.5",79.5986410776774
"X291.5",32.0439767837524
"X292.5",12.9785294532776
"X293.5",14.9903254508972
"X294.5",4.49701436360677
"X295.5",24.2059755325317
"X296.5",5.6223185857137
"X297.5",65.3451951344808
"X298.5",120.017181396484
"X299.5",120.791927337646
"X300.5",130.553961435954
"X301.5",115.695391337077
"X302.5",69.8872165679932
"X303.5",85.0354245503743
"X304.5",25.9093430836995
"X305.5",17.0276120503743
"X306.5",0.614528099695841
"X307.5",6.00388940175374
"X308.5",55.3315887451172
"X309.5",34.7567249933879
"X310.5",124.381457010905
"X311.5",138.201295216878
"X312.5",118.949695587158
"X313.5",134.33025487264
"X314.5",93.5205656687419
"X315.5",83.6290124257406
"X316.5",14.3111357688904
"X317.5",1.93122355143229
"X318.5",7.19280250867208
"X319.5",19.5931585629781
"X320.5",76.6633186340332
"X321.5",15.698101679484
"X322.5",61.4327526092529
"X323.5",127.796401977539
"X324.5",115.721183776855
"X325.5",65.8200550079346
"X326.5",43.6515286763509
"X327.5",37.5661277770996
"X328.5",10.5631622473399
"X329.5",6.44446086883545
"X330.5",37.4668327967326
"X331.5",9.36794145901998
"X332.5",11.7646742661794
"X333.5",46.5788027445475
"X334.5",93.3028564453125
"X335.5",74.6595039367676
"X336.5",103.752302805583
"X337.5",80.7392381032308
"X338.5",115.523073832194
"X339.5",80.9664014180501
"X340.5",35.8916352589925
"X341.5",1.56418066223462
"X342.5",0.654254943132401
"X343.5",1.4653160572052
"X344.5",12.2701279322306
"X345.5",41.5288794835409
"X346.5",11.0607603391012
"X347.5",104.392012278239
"X348.5",120.560666402181
"X349.5",89.2412223815918
"X350.5",62.7869815826416
"X351.5",52.8004035949707
"X352.5",6.86390519142151
"X353.5",16.1809765497843
"X354.5",1.9784662326177
