"","V1"
"X373.5",7.92507227261861
"X374.5",7.10942660272121
"X375.5",6.0823916743199
"X376.5",5.41993264357249
"X377.5",3.93389328320821
"X378.5",2.376593430837
"X379.5",3.56616747379303
"X380.5",4.62791319688161
"X381.5",6.66228424261014
"X382.5",6.78500120465954
"X383.5",7.30373206113776
"X384.5",7.00759874780973
"X385.5",7.17384190360705
"X386.5",6.6170839779079
"X387.5",6.05864089727402
"X388.5",5.72269191344579
"X389.5",5.00748062133789
"X390.5",2.25879418849945
"X391.5",2.73596358299255
"X392.5",4.18216248353322
"X393.5",6.17785431704639
"X394.5",6.37289975583553
"X395.5",7.61907647550106
"X396.5",6.55782761176427
"X397.5",6.3868887796998
"X398.5",6.41505440200369
"X399.5",6.26251158180336
"X400.5",5.21856463948886
"X401.5",4.1084977388382
"X402.5",3.16650787989298
"X403.5",3.20987244447072
"X404.5",4.54484699169795
"X405.5",6.58028976184626
"X406.5",7.57854180534681
"X407.5",8.21958257754644
"X408.5",7.17283669114113
"X409.5",7.20137263337771
"X410.5",6.79174121407171
"X411.5",6.52974558745821
"X412.5",5.45206106702487
"X413.5",4.0714449485143
"X414.5",3.11056435108185
"X415.5",3.72567717234294
"X416.5",5.57019340991974
"X417.5",6.5297059516112
"X418.5",7.5498255242904
"X419.5",8.38979730010033
"X420.5",8.07490568359693
"X421.5",7.75364630421003
"X422.5",7.00986437499523
"X423.5",6.43211656808853
"X424.5",4.85971156756083
"X425.5",4.53028349081675
"X426.5",3.50078483422597
"X427.5",4.37354493141174
"X428.5",5.3522372841835
"X429.5",6.89230724175771
"X430.5",7.26631133724004
"X431.5",7.57879513502121
"X432.5",6.91364260514577
"X433.5",7.37927140792211
"X434.5",7.32318475842476
"X435.5",7.05008883525928
"X436.5",5.99582167963187
"X437.5",4.17166670163473
"X438.5",2.87884636720022
"X439.5",4.6434906522433
"X440.5",5.52222096920013
"X441.5",7.14580861727397
"X442.5",7.22145663450162
"X443.5",8.09761927525203
"X444.5",7.03525267044703
"X445.5",6.9010039071242
"X446.5",6.34500928844015
"X447.5",5.36632805069288
"X448.5",4.5336682399114
"X449.5",3.54923812548319
"X450.5",3.444779753685
"X451.5",3.87662541866302
"X452.5",6.18603114287058
"X453.5",7.51123235498865
"X454.5",8.04564761122068
"X455.5",9.37076590458552
"X456.5",9.31040245294571
"X457.5",9.13702247540156
"X458.5",8.53391015032927
"X459.5",7.70256539682547
"X460.5",5.5830540060997
"X461.5",5.66920383771261
"X462.5",3.73585951328278
"X463.5",4.87575376033783
"X464.5",5.396293481191
"X465.5",7.1776544911166
"X466.5",7.37402250338346
"X467.5",8.16713982820511
"X468.5",7.96097015341123
"X469.5",7.11041144529978
"X470.5",7.01482395331065
"X471.5",6.46631242459019
"X472.5",5.68218336502711
"X473.5",4.139643907547
"X474.5",2.964985926946
"X475.5",3.91656784216563
"X476.5",4.9900896747907
"X477.5",6.74827117364233
"X478.5",6.84067370121678
"X479.5",7.82860207557678
"X480.5",7.25285238027573
"X481.5",6.80936519304911
"X482.5",6.75692822535833
"X483.5",6.79943206409613
"X484.5",5.83526589473089
"X485.5",4.31860053539276
"X486.5",2.50678718090057
"X487.5",4.39052033424377
"X488.5",5.19142544269562
"X489.5",6.35204808227718
"X490.5",7.37546924998363
"X491.5",7.49998517334461
"X492.5",6.63266847531001
"X493.5",6.92766283949216
"X494.5",6.57189614574115
"X495.5",6.34813580786189
"X496.5",5.36764728029569
"X497.5",4.68785786628723
"X498.5",2.63274466991425
"X499.5",3.38815911610921
"X500.5",6.16477319598198
"X501.5",7.47293053738152
"X502.5",8.07433582345645
"X503.5",8.46662909785906
"X504.5",8.18049982190132
"X505.5",7.48913506666819
"X506.5",7.25192058086395
"X507.5",6.69615625838439
"X508.5",5.99824800342321
"X509.5",5.68035341302554
"X510.5",2.64909327030182
"X511.5",4.32397917906443
"X512.5",5.5944632490476
"X513.5",7.29302105928461
"X514.5",7.82680833836397
"X515.5",8.63764054576556
"X516.5",8.39744106928507
"X517.5",8.15849759181341
"X518.5",7.34255833427111
"X519.5",6.69557263950507
"X520.5",5.96466142932574
"X521.5",5.04528748989105
