"","V1"
"X551.5",9.39948157163767
"X552.5",8.34213002369954
"X553.5",8.90125712981591
"X554.5",8.93831284688069
"X555.5",7.78268602476097
"X556.5",5.2272748030149
"X557.5",5.3067781833502
"X558.5",3.81685737463144
"X559.5",5.57041778014256
"X560.5",6.60463559169036
"X561.5",8.25655561356017
"X562.5",9.14629196203672
"X563.5",9.60449459461065
"X564.5",9.64901033731607
"X565.5",8.96824064163061
"X566.5",8.47355170891835
"X567.5",7.97185285461064
"X568.5",6.42293632030487
"X569.5",5.60104526923253
"X570.5",4.01619898355924
"X571.5",5.39677838178781
"X572.5",7.30464105565961
"X573.5",8.30832945892158
"X574.5",8.72433743683191
"X575.5",9.0648216513487
"X576.5",8.34840824970832
"X577.5",8.155795445809
"X578.5",7.70783564047172
"X579.5",6.86729397567419
"X580.5",4.9431155369832
"X581.5",4.72261056533227
"X582.5",3.87853615100567
"X583.5",5.08967161178589
"X584.5",6.3538742523927
"X585.5",8.27490089719112
"X586.5",9.47662857690683
"X587.5",8.8704290665113
"X588.5",8.84423000537432
"X589.5",8.57059158270176
"X590.5",8.2727743937419
"X591.5",7.6424464984582
"X592.5",6.2081113916177
"X593.5",4.12249700839703
"X594.5",4.19311633476844
"X595.5",4.70703963133005
"X596.5",7.32650645879599
"X597.5",8.77121878759219
"X598.5",9.87456294206473
"X599.5",9.57088509431252
"X600.5",9.45654867245601
"X601.5",10.0057735626514
"X602.5",9.65389781731826
"X603.5",8.56038406835152
"X604.5",6.67947504612116
"X605.5",6.26719541733081
"X606.5",4.41524874247037
"X607.5",5.48181445782001
"X608.5",7.41605961093536
"X609.5",8.36767183244228
"X610.5",8.8038771966329
"X611.5",8.97943367407872
"X612.5",8.66344339572466
"X613.5",8.01399924663397
"X614.5",8.2398353264882
"X615.5",7.72006215875109
"X616.5",6.21176424393287
"X617.5",5.04472725207989
"X618.5",4.10291323295006
"X619.5",5.36380863189697
"X620.5",7.20933818301329
"X621.5",7.93145299099314
"X622.5",9.46648184439311
"X623.5",8.88290363091689
"X624.5",8.32997644864596
"X625.5",7.7706617300327
"X626.5",8.00055078588999
"X627.5",7.57867065759805
"X628.5",5.75307641579555
"X629.5",4.70844343075385
"X630.5",4.03546986213097
"X631.5",4.63178500762353
"X632.5",7.01298298973304
"X633.5",8.69474675850226
"X634.5",9.53872183423776
"X635.5",9.33811630652501
"X636.5",8.85098444040005
"X637.5",8.79192209702272
"X638.5",8.78734181935971
"X639.5",7.53645590692759
"X640.5",6.7678354199116
"X641.5",5.39613133210402
"X642.5",4.45422700735239
"X643.5",4.85903910490183
"X644.5",6.74820558841412
"X645.5",8.48378773601367
"X646.5",9.44363842904568
"X647.5",9.48755899759439
"X648.5",8.74879138744794
"X649.5",8.94078362446565
"X650.5",8.77932871075777
"X651.5",8.19016231195285
"X652.5",6.37902327684256
"X653.5",6.08767221524165
"X654.5",4.63338099993192
"X655.5",5.30060625993289
"X656.5",7.72208777370934
"X657.5",8.72060988958065
"X658.5",9.35445693823007
"X659.5",9.80348032712936
"X660.5",8.52333633257793
"X661.5",8.91014178441121
"X662.5",8.67493845407779
"X663.5",8.01026760844084
"X664.5",6.49498442044625
"X665.5",6.04600518483382
"X666.5",4.27213430404663
"X667.5",5.52028203010559
"X668.5",7.62594819856951
"X669.5",8.40727286785841
"X670.5",9.85845011014205
"X671.5",9.71677207946777
"X672.5",10.078188263453
"X673.5",10.002564897904
"X674.5",9.54712436290888
"X675.5",8.49693490192294
"X676.5",6.17283229644482
"X677.5",4.89099759321946
"X678.5",4.64727964768043
"X679.5",5.37133728540861
"X680.5",7.01107056782796
"X681.5",8.15835362443557
"X682.5",8.64833188716036
"X683.5",9.5755797120241
